MolLogP,MolWt,NumRotatableBonds,AromaticProportion,logS,MolWt_log,MolWt_squared,MolWt_cubed,MolLogP_squared,MolLogP_abs,MolLogP_signed_sqrt,Flexibility_Index,Rigidity_Score,Aromatic_Index,Aromatic_Score,Lipinski_MW,Lipinski_LogP,Lipinski_Score,Sol_Heuristic_1,Sol_Heuristic_2,MW_LogP_Interaction,MW_Aromatic_Interaction,LogP_Rotatable_Interaction,Complexity_Score,Polarity_Estimate,MW_Bin_L,MW_Bin_M,MW_Bin_H,MW_Bin_VH,LogP_Bin_L,LogP_Bin_M,LogP_Bin_H,LogP_Bin_VH,Rotatable_Bin_L,Rotatable_Bin_M,Rotatable_Bin_H,Rotatable_Bin_VH,Z_Score_MolWt,Z_Score_LogP,MW_per_RotatableBond,LogP_per_MW
2.5954000000000006,167.85,0.0,0.0,-2.18,5.129010746831577,28173.622499999998,4728942.536625,6.736101160000003,2.5954000000000006,1.611024518745758,0.0,1.0,0.0,0.0,1,1,2,-0.5831140000000001,0.3,0.4356378900000001,0.0,0.0,0.0,0.3710024486161608,False,False,False,False,False,True,False,False,False,False,False,False,-0.35842424253290284,0.07838510008656037,167.85,1.5453408752604947
2.376500000000001,133.405,0.0,0.0,-2.0,4.90085762977801,17796.894025,2374194.647405125,5.647752250000004,2.376500000000001,1.5415900881881672,0.0,1.0,0.0,0.0,1,1,2,-0.5136450000000001,0.3,0.3170369825000001,0.0,0.0,0.0,0.4037956793862304,False,False,False,False,False,True,False,False,False,False,False,False,-0.6940784261100954,-0.03892447581204868,133.405,1.7800831429534483
2.5938,167.85,1.0,0.0,-1.74,5.129010746831577,28173.622499999998,4728942.536625,6.727798439999999,2.5938,1.6105278637763458,0.3733432891543775,0.5,0.0,0.0,1,1,2,-0.5828580000000001,0.27999999999999997,0.43536933,0.0,2.5938,0.16785,0.37122280792931917,False,False,False,False,False,True,False,False,False,False,False,False,-0.35842424253290284,0.07752765229561538,83.925,1.544388210777017
2.0289,133.405,1.0,0.0,-1.48,4.90085762977801,17796.894025,2374194.647405125,4.116435210000001,2.0289,1.4243946082459031,0.42843983633598254,0.5,0.0,0.0,1,1,2,-0.458029,0.27999999999999997,0.27066540450000004,0.0,2.0289,0.133405,0.46972614965475123,False,False,False,False,False,True,False,False,False,False,False,False,-0.6940784261100954,-0.2252050083947653,66.7025,1.5197183626081423
2.9189,187.37500000000003,1.0,0.0,-3.04,5.2384346569466596,35109.39062500001,6578622.068359378,8.519977209999999,2.9189,1.7084788555905512,0.3479773814702044,0.5,0.0,0.0,1,1,2,-0.6543990000000001,0.27999999999999997,0.5469288875000001,0.0,2.9189,0.18737500000000004,0.33124648050614464,True,False,False,False,False,True,False,False,False,False,False,False,-0.16816011321530383,0.251750325318173,93.68750000000001,1.5569542605680755
1.81,98.96,0.0,0.0,-1.29,4.604770105966751,9793.0816,969123.3551359999,3.2761,1.81,1.3453624047073711,0.0,1.0,0.0,0.0,1,1,2,-0.38856,0.3,0.1791176,0.0,0.0,0.0,0.5235602094240838,False,False,False,False,False,True,False,False,False,False,False,False,-1.029732609687288,-0.34251458429337456,98.96,1.8271754492226935
1.9352,96.944,0.0,0.0,-1.64,4.584395886771614,9398.139136,911093.200400384,3.74499904,1.9352,1.3911146609823362,0.0,1.0,0.0,0.0,1,1,2,-0.40657600000000005,0.3,0.18760602880000002,0.0,0.0,0.0,0.4913522012578616,False,False,False,False,False,True,False,False,False,False,False,False,-1.0493778073674047,-0.27541929465195897,96.944,1.994146984872841
1.4054,118.176,4.0,0.0,-0.43,4.780601392077291,13965.566976,1650394.842955776,1.97514916,1.4054,1.1854956769216833,1.833382223525961,0.2,0.0,0.0,1,1,2,-0.34304,0.21999999999999997,0.1660845504,0.0,5.6216,0.472704,0.6642752756742394,False,False,False,False,False,True,False,False,False,False,False,False,-0.8424795746569692,-0.5593416944284925,23.6352,1.1882376813554738
4.3002,215.894,0.0,0.6,-4.57,5.379408754932925,46610.219236000004,10062866.671736985,18.49172004,4.3002,2.0736923590542546,0.0,1.0,60.0,2.58012,1,1,2,-0.9039260000000001,0.12,0.9283873788000001,129.5364,0.0,0.0,0.22726239716376528,True,False,False,False,False,False,True,False,False,False,False,False,0.1097473236097201,0.9919957213380405,215.894,1.9908886357954392
2.5654000000000003,132.20599999999996,0.0,0.6,-4.37,4.891896802136836,17478.42643599999,2310752.8453978137,6.581277160000002,2.5654000000000003,1.601686611044745,0.0,1.0,60.0,1.5392400000000002,1,1,2,-0.5426700000000001,0.12,0.33916127239999994,79.32359999999997,0.0,0.0,0.3751782096495835,False,False,False,False,False,True,False,False,False,False,False,False,-0.705762251516078,0.06230795400634884,132.20599999999996,1.9389899173128968
4.3002,215.894,0.0,0.6,-4.63,5.379408754932925,46610.219236000004,10062866.671736985,18.49172004,4.3002,2.0736923590542546,0.0,1.0,60.0,2.58012,1,1,2,-0.9039260000000001,0.12,0.9283873788000001,129.5364,0.0,0.0,0.22726239716376528,True,False,False,False,False,False,True,False,False,False,False,False,0.1097473236097201,0.9919957213380405,215.894,1.9908886357954392
